iter	Passed	Remaining
407	5721	8301
408	5733	8284
409	5745	8267
410	5758	8252
411	5771	8237
412	5785	8222
413	5798	8207
414	5810	8190
415	5825	8177
416	5840	8165
417	5852	8148
418	5866	8134
419	5878	8118
420	5891	8103
421	5904	8087
422	5919	8074
423	5932	8059
424	5944	8042
425	5959	8029
426	5974	8017
427	5990	8005
428	6002	7989
429	6019	7978
430	6033	7965
431	6050	7955
432	6065	7942
433	6079	7928
434	6095	7917
435	6113	7908
436	6127	7894
437	6143	7882
438	6160	7872
439	6178	7863
440	6204	7865
441	6227	7861
442	6251	7860
443	6274	7856
444	6292	7848
445	6309	7837
446	6325	7825
447	6342	7814
448	6358	7803
449	6373	7790
450	6388	7776
451	6403	7763
452	6419	7751
453	6433	7737
454	6448	7723
455	6462	7710
456	6479	7698
457	6492	7682
458	6506	7669
459	6521	7655
460	6536	7641
461	6552	7630
462	6566	7615
463	6580	7601
464	6595	7588
465	6613	7578
466	6630	7567
467	6645	7553
468	6658	7538
469	6675	7527
470	6692	7516
471	6707	7503
472	6724	7492
473	6739	7478
474	6754	7465
475	6770	7452
476	6784	7438
477	6801	7427
478	6817	7415
479	6833	7403
480	6850	7392
481	6866	7379
482	6883	7367
483	6897	7353
484	6914	7342
485	6928	7328
486	6942	7312
487	6956	7298
488	6973	7287
489	6990	7275
490	7007	7264
491	7024	7253
492	7040	7240
493	7055	7226
494	7070	7213
495	7084	7198
496	7098	7184
497	7114	7172
498	7132	7160
499	7147	7147
500	7162	7133
501	7177	7120
502	7194	7108
503	7209	7095
504	7223	7080
505	7238	7067
506	7253	7053
507	7270	7041
508	7287	7029
509	7301	7015
510	7316	7001
511	7330	6987
512	7345	6973
513	7360	6959
514	7377	6947
515	7393	6935
516	7407	6920
517	7421	6905
518	7437	6893
519	7454	6881
520	7469	6867
521	7484	6853
522	7497	6838
523	7512	6824
524	7527	6810
525	7543	6798
526	7559	6784
527	7572	6769
528	7587	6755
529	7602	6741
530	7619	6729
531	7636	6718
532	7651	6704
533	7665	6689
534	7682	6676
535	7698	6664
536	7714	6651
537	7731	6639
538	7744	6623
539	7761	6611
540	7777	6598
541	7791	6584
542	7804	6568
543	7821	6556
544	7839	6544
545	7853	6530
546	7870	6517
547	7886	6505
548	7903	6492
549	7918	6478
550	7934	6466
551	7949	6451
552	7962	6436
553	7977	6422
554	7994	6409
555	8009	6395
556	8022	6380
557	8038	6367
558	8053	6353
559	8069	6340
560	8084	6326
561	8101	6313
562	8116	6299
563	8131	6286
564	8147	6272
565	8162	6258
566	8178	6245
567	8193	6231
568	8211	6220
569	8227	6206
570	8244	6193
571	8262	6182
572	8281	6171
573	8297	6158
574	8312	6144
575	8331	6132
576	8346	6118
577	8363	6106
578	8378	6092
579	8394	6078
580	8413	6067
581	8427	6053
582	8445	6040
583	8460	6026
584	8480	6015
585	8497	6003
586	8513	5989
587	8527	5975
588	8546	5964
589	8562	5950
590	8577	5935
591	8596	5924
592	8614	5912
593	8629	5898
594	8646	5885
595	8663	5872
596	8680	5860
597	8696	5846
598	8713	5832
599	8731	5820
600	8747	5807
601	8765	5795
602	8784	5783
603	8802	5771
604	8822	5760
605	8842	5748
606	8858	5735
607	8874	5721
608	8891	5708
609	8908	5695
610	8925	5682
611	8940	5668
612	8959	5656
613	8975	5642
614	8992	5629
615	9008	5615
616	9023	5601
617	9043	5589
618	9060	5576
619	9075	5562
620	9094	5550
621	9110	5536
622	9129	5524
623	9147	5511
624	9166	5499
625	9183	5486
626	9199	5472
627	9215	5458
628	9236	5447
629	9256	5436
630	9274	5423
631	9290	5409
632	9306	5395
633	9325	5383
634	9344	5371
635	9360	5357
636	9379	5344
637	9395	5330
638	9411	5316
639	9427	5302
640	9444	5289
641	9460	5275
642	9476	5261
643	9493	5247
644	9511	5234
645	9528	5221
646	9544	5207
647	9560	5193
648	9576	5179
649	9595	5166
650	9611	5152
651	9627	5138
652	9647	5126
653	9664	5112
654	9682	5100
655	9702	5088
656	9721	5075
657	9738	5061
658	9757	5048
659	9776	5036
660	9792	5022
661	9807	5007
662	9825	4994
663	9845	4982
664	9864	4969
665	9881	4955
666	9897	4941
667	9915	4927
668	9931	4913
669	9952	4901
670	9968	4887
671	9987	4875
672	10004	4860
673	10023	4847
674	10040	4834
675	10056	4820
676	10076	4807
677	10092	4793
678	10108	4778
679	10127	4765
680	10144	4752
681	10163	4739
682	10180	4725
683	10197	4711
684	10215	4697
685	10231	4683
686	10253	4671
687	10270	4657
688	10288	4644
689	10304	4629
690	10321	4615
691	10340	4602
692	10359	4589
693	10377	4575
694	10394	4561
695	10410	4547
696	10429	4534
697	10448	4520
698	10468	4507
699	10487	4494
700	10507	4481
701	10526	4468
702	10544	4454
703	10563	4441
704	10584	4428
705	10603	4415
706	10619	4401
707	10639	4387
708	10660	4375
709	10679	4362
710	10696	4347
711	10712	4333
712	10729	4318
713	10745	4304
714	10762	4290
715	10779	4275
716	10800	4263
717	10817	4248
718	10834	4234
719	10851	4220
720	10870	4206
721	10887	4191
722	10907	4178
723	10924	4164
724	10941	4150
725	10958	4135
726	10975	4121
727	10992	4106
728	11008	4092
729	11025	4077
730	11044	4064
731	11062	4050
732	11084	4037
733	11103	4023
734	11122	4010
735	11138	3995
736	11154	3980
737	11174	3967
738	11193	3953
739	11212	3939
740	11229	3925
741	11251	3912
742	11272	3898
743	11291	3885
744	11307	3870
745	11325	3856
746	11344	3842
747	11365	3829
748	11385	3815
749	11401	3800
750	11422	3787
751	11440	3773
752	11459	3758
