iter	Logloss
0	0.4753241515
1	0.3339601703
2	0.2354174478
3	0.1617815651
4	0.1165015243
5	0.08477712375
6	0.06073933437
7	0.04411744735
8	0.03257987429
9	0.02538488563
10	0.01931903004
11	0.01492917959
12	0.012127679
13	0.009623547736
14	0.007738256791
15	0.006386750161
16	0.005268772964
17	0.004396081572
18	0.003703874247
19	0.003182951545
20	0.002731654045
21	0.002451808614
22	0.0021463641
23	0.001878448259
24	0.001675807624
25	0.001534845225
26	0.001370521415
27	0.001268820493
28	0.00114343277
29	0.001045997521
30	0.0009522779077
31	0.0008939830615
32	0.0008414122459
33	0.000793928335
34	0.0007303683717
35	0.0006747147149
36	0.0006253960515
37	0.0005970321197
38	0.000557326645
39	0.0005333840426
40	0.0005003532055
41	0.0004809011905
42	0.000451986412
43	0.0004358220052
44	0.0004201727486
45	0.0003976145859
46	0.0003764803186
47	0.0003642604041
48	0.0003459655673
49	0.0003292291725
50	0.0003197646646
51	0.0003049705933
52	0.0002965549407
53	0.00028869633
54	0.0002762598299
55	0.0002695188813
56	0.0002587661974
57	0.000248537054
58	0.000238951352
59	0.0002337013617
60	0.000229989123
61	0.0002251889643
62	0.0002174048443
63	0.0002098155671
64	0.0002055997865
65	0.0002014492793
66	0.0001948534029
67	0.0001912470212
68	0.0001877009357
69	0.0001844280483
70	0.0001785927025
71	0.0001735036928
72	0.0001684688896
73	0.0001634727303
74	0.0001608862887
75	0.0001584122749
76	0.0001560222549
77	0.000151984747
78	0.0001479260826
79	0.0001456848788
80	0.0001419752265
81	0.0001400100325
82	0.0001364492263
83	0.0001346370587
84	0.0001328436566
85	0.0001316395646
86	0.000129932096
87	0.0001282053205
88	0.0001266784552
89	0.0001237033655
90	0.0001211278404
91	0.0001182939733
92	0.0001171624098
93	0.0001156906758
94	0.0001131199473
95	0.0001119611001
96	0.0001096347371
97	0.0001087403367
98	0.0001065716689
99	0.0001056542099
100	0.0001046210979
101	0.0001035344408
102	0.0001015545562
103	0.0001004983029
104	9.93894821e-05
105	9.874907801e-05
106	9.703097111e-05
107	9.633708975e-05
108	9.539258769e-05
109	9.46704302e-05
110	9.375332463e-05
111	9.313432498e-05
112	9.163130755e-05
113	9.083880937e-05
114	8.994656663e-05
115	8.906643578e-05
116	8.820764172e-05
117	8.676346959e-05
118	8.589293954e-05
119	8.515767024e-05
120	8.378716939e-05
121	8.245619948e-05
122	8.174250754e-05
123	8.04538052e-05
124	7.993705368e-05
125	7.934722482e-05
126	7.866435768e-05
127	7.829772295e-05
128	7.754134994e-05
129	7.630298224e-05
130	7.531959582e-05
131	7.476290739e-05
132	7.416710904e-05
133	7.348231723e-05
134	7.298083527e-05
135	7.240633611e-05
136	7.188224678e-05
137	7.127104355e-05
138	7.075463787e-05
139	7.024054029e-05
140	6.928158817e-05
141	6.880482619e-05
142	6.834778457e-05
143	6.776072243e-05
144	6.723157332e-05
145	6.645860754e-05
146	6.593426259e-05
147	6.544391515e-05
148	6.51770776e-05
149	6.427424918e-05
150	6.345564013e-05
151	6.307084884e-05
152	6.268135865e-05
153	6.226323147e-05
154	6.178964971e-05
155	6.128552132e-05
156	6.109614049e-05
157	6.074610229e-05
158	6.033574145e-05
159	6.006557333e-05
160	5.973718391e-05
161	5.94415778e-05
162	5.904588506e-05
163	5.885068511e-05
164	5.841042422e-05
165	5.803218132e-05
166	5.786888504e-05
167	5.766181003e-05
168	5.728134173e-05
169	5.69733418e-05
170	5.67193003e-05
171	5.620837918e-05
172	5.605062385e-05
173	5.590850271e-05
174	5.556057338e-05
175	5.518683391e-05
176	5.480467777e-05
177	5.463079956e-05
178	5.44269198e-05
179	5.407652072e-05
180	5.377603528e-05
181	5.351339291e-05
182	5.314663038e-05
183	5.297696614e-05
184	5.263395374e-05
185	5.245466616e-05
186	5.218095694e-05
187	5.199639531e-05
188	5.171076967e-05
189	5.164196645e-05
190	5.125980655e-05
191	5.112075661e-05
192	5.082895098e-05
193	5.030606457e-05
194	5.003169374e-05
195	4.976513437e-05
196	4.953567754e-05
197	4.946200626e-05
198	4.921403199e-05
199	4.891637716e-05
200	4.883875129e-05
201	4.859510753e-05
202	4.846200828e-05
203	4.832289444e-05
204	4.80974749e-05
205	4.762130687e-05
206	4.744797374e-05
207	4.72446804e-05
208	4.680226176e-05
209	4.654411907e-05
210	4.644825769e-05
211	4.617056756e-05
212	4.584031362e-05
213	4.577716412e-05
214	4.524121852e-05
215	4.509037998e-05
216	4.4662449e-05
217	4.444196144e-05
218	4.422477438e-05
219	4.419867855e-05
220	4.398637084e-05
221	4.367343142e-05
222	4.33944895e-05
223	4.317796781e-05
224	4.29766029e-05
225	4.293679379e-05
226	4.269855941e-05
227	4.255649841e-05
228	4.234599132e-05
229	4.215340772e-05
230	4.193508541e-05
231	4.183801735e-05
232	4.16721348e-05
233	4.155191054e-05
234	4.147931437e-05
235	4.120824406e-05
236	4.115448109e-05
237	4.099606415e-05
238	4.082050186e-05
239	4.065889343e-05
240	4.049590164e-05
241	4.014399891e-05
242	3.98965622e-05
243	3.977200368e-05
244	3.976971813e-05
245	3.961610911e-05
246	3.926192084e-05
247	3.896222105e-05
248	3.863786141e-05
